gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
female,single,southern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,single,southern,bachelor,chanco,fulltime,tuition,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,single,southern,bachelor,luanar ,fulltime,tuition_living,partially_paid,phone,voluntary_monthly,neutral,neutral,effective,positive,satisfied,over,stem
male,married,southern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,natural resourses
male,single,central,bachelor,mzuni,fulltime,tuition_living,partially_paid,inperson,monthly_salary,neutral,neutral,effective,positive,neutral,under,natural resourses
male,married,southern,doctorate,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,natural resourses
female,married,southern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,natural resourses
male,married,southern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,natural resourses
male,single,central,bachelor,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,ineffective,neutral,neutral,neutral,under,commerce
male,married,central,doctorate,poly,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,commerce
male,married,northern,bachelor,luanar,parttime,tuition_living,partially_paid,inperson,voluntary_monthly,inconvenient,ineffective,ineffective,negative,dissatisfied,under,health sciences
female,married,northern,bachelor,mzuni,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,convenient,neutral,effective,positive,neutral,under,stem
male,married,northern,bachelor,poly,fulltime,tuition_living,partially_paid,email,monthly_salary,convenient,effective,neutral,neutral,satisfied,under,stem
female,single,central,bachelor,poly,fulltime,tuition_living,partially_paid,phone,monthly_salary,convenient,very_effective,effective,very_positive,very satisfied,under,stem
female,married,northern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
